tripdurationseconds,tripdurationminutes,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
290,5,9/1/17 0:03,9/1/17 0:08,3429,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,3421,Hoyt St & Warren St,40.6843549,-73.98901629,26014,Subscriber,1967,Male
1144,19,9/1/17 0:03,9/1/17 0:22,296,Division St & Bowery,40.71413089,-73.9970468,476,E 31 St & 3 Ave,40.74394314,-73.97966069,29962,Subscriber,1989,Female
598,10,9/1/17 0:03,9/1/17 0:13,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,3224,W 13 St & Hudson St,40.73997354,-74.00513873,25785,Subscriber,1994,Male
350,6,9/1/17 0:03,9/1/17 0:09,474,5 Ave & E 29 St,40.7451677,-73.98683077,379,W 31 St & 7 Ave,40.749156,-73.9916,25792,Subscriber,1975,Male
875,15,9/1/17 0:03,9/1/17 0:18,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,30324,Subscriber,1984,Male
631,11,9/1/17 0:03,9/1/17 0:14,476,E 31 St & 3 Ave,40.74394314,-73.97966069,434,9 Ave & W 18 St,40.74317449,-74.00366443,15380,Subscriber,1994,Female
567,9,9/1/17 0:04,9/1/17 0:13,128,MacDougal St & Prince St,40.72710258,-74.00297088,3428,8 Ave & W 16 St,40.740983,-74.001702,25596,Subscriber,1978,Male
7728,129,9/1/17 0:04,9/1/17 2:12,376,John St & William St,40.70862144,-74.00722156,376,John St & William St,40.70862144,-74.00722156,17371,Customer,NULL,Unknown
385,6,9/1/17 0:04,9/1/17 0:10,3310,14 St & 7 Ave,40.663779,-73.98396846,3346,Berkeley Pl & 7 Ave,40.67514684,-73.97523209,14668,Subscriber,1987,Female
422,7,9/1/17 0:04,9/1/17 0:11,312,Allen St & Stanton St,40.722055,-73.989111,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,16852,Subscriber,1991,Male
378,6,9/1/17 0:04,9/1/17 0:10,3310,14 St & 7 Ave,40.663779,-73.98396846,3346,Berkeley Pl & 7 Ave,40.67514684,-73.97523209,26410,Subscriber,1986,Male
1825,30,9/1/17 0:04,9/1/17 0:34,528,2 Ave & E 31 St,40.74290902,-73.97706058,505,6 Ave & W 33 St,40.74901271,-73.98848395,28415,Subscriber,1969,Male
656,11,9/1/17 0:04,9/1/17 0:15,265,Stanton St & Chrystie St,40.72229346,-73.99147535,376,John St & William St,40.70862144,-74.00722156,25095,Subscriber,1990,Female
2164,36,9/1/17 0:04,9/1/17 0:40,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,15508,Subscriber,1988,Male
1424,24,9/1/17 0:04,9/1/17 0:28,453,W 22 St & 8 Ave,40.74475148,-73.99915362,304,Broadway & Battery Pl,40.70463334,-74.01361706,18701,Subscriber,1969,Male
258,4,9/1/17 0:04,9/1/17 0:09,150,E 2 St & Avenue C,40.7208736,-73.98085795,432,E 7 St & Avenue A,40.72621788,-73.98379855,17540,Subscriber,1992,Female
1244,21,9/1/17 0:04,9/1/17 0:25,308,St James Pl & Oliver St,40.71307916,-73.99851193,2008,Little West St & 1 Pl,40.70569254,-74.01677685,28563,Subscriber,1982,Male
523,9,9/1/17 0:05,9/1/17 0:14,368,Carmine St & 6 Ave,40.73038599,-74.00214988,328,Watts St & Greenwich St,40.72405549,-74.00965965,17589,Customer,NULL,Unknown
517,9,9/1/17 0:05,9/1/17 0:14,368,Carmine St & 6 Ave,40.73038599,-74.00214988,328,Watts St & Greenwich St,40.72405549,-74.00965965,25635,Customer,NULL,Unknown
1026,17,9/1/17 0:05,9/1/17 0:22,302,Avenue D & E 3 St,40.72082834,-73.97793172,3068,Humboldt St & Varet St,40.7031724,-73.940636,20231,Subscriber,1999,Male
215,4,9/1/17 0:05,9/1/17 0:09,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,29861,Subscriber,1989,Male
918,15,9/1/17 0:05,9/1/17 0:20,368,Carmine St & 6 Ave,40.73038599,-74.00214988,527,E 33 St & 2 Ave,40.744023,-73.976056,21096,Subscriber,1981,Male
366,6,9/1/17 0:05,9/1/17 0:11,3244,University Pl & E 8 St,40.73143724,-73.99490342,251,Mott St & Prince St,40.72317958,-73.99480012,27692,Subscriber,1997,Female
203,3,9/1/17 0:05,9/1/17 0:09,325,E 19 St & 3 Ave,40.73624527,-73.98473765,476,E 31 St & 3 Ave,40.74394314,-73.97966069,15807,Subscriber,1990,Male
467,8,9/1/17 0:05,9/1/17 0:13,372,Franklin Ave & Myrtle Ave,40.69454609,-73.95801365,3067,Broadway & Whipple St,40.7016657,-73.9437303,28217,Subscriber,1987,Female
358,6,9/1/17 0:06,9/1/17 0:12,449,W 52 St & 9 Ave,40.76461837,-73.98789473,529,W 42 St & 8 Ave,40.7575699,-73.99098507,28424,Subscriber,1964,Male
318,5,9/1/17 0:06,9/1/17 0:11,3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,449,W 52 St & 9 Ave,40.76461837,-73.98789473,24867,Subscriber,1975,Male
417,7,9/1/17 0:06,9/1/17 0:13,454,E 51 St & 1 Ave,40.75455731,-73.96592976,3140,1 Ave & E 78 St,40.77140426,-73.9535166,28278,Subscriber,1977,Male
753,13,9/1/17 0:06,9/1/17 0:18,229,Great Jones St,40.72743423,-73.99379025,379,W 31 St & 7 Ave,40.749156,-73.9916,21287,Subscriber,1996,Female
650,11,9/1/17 0:06,9/1/17 0:17,478,11 Ave & W 41 St,40.76030096,-73.99884222,468,Broadway & W 56 St,40.7652654,-73.98192338,27730,Subscriber,1983,Male
530,9,9/1/17 0:06,9/1/17 0:15,478,11 Ave & W 41 St,40.76030096,-73.99884222,519,Pershing Square North,40.751873,-73.977706,17384,Subscriber,1977,Male
167,3,9/1/17 0:06,9/1/17 0:09,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,439,E 4 St & 2 Ave,40.7262807,-73.98978041,14765,Subscriber,2001,Male
675,11,9/1/17 0:06,9/1/17 0:17,265,Stanton St & Chrystie St,40.72229346,-73.99147535,476,E 31 St & 3 Ave,40.74394314,-73.97966069,27268,Subscriber,1992,Male
1891,32,9/1/17 0:06,9/1/17 0:38,319,Fulton St & Broadway,40.711066,-74.009447,3474,6 Ave & Spring St,40.7252557,-74.00412083,26618,Customer,NULL,Unknown
631,11,9/1/17 0:06,9/1/17 0:17,262,Washington Park,40.6917823,-73.9737299,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,28306,Subscriber,1988,Male
691,12,9/1/17 0:06,9/1/17 0:18,474,5 Ave & E 29 St,40.7451677,-73.98683077,335,Washington Pl & Broadway,40.72903917,-73.99404649,18864,Customer,NULL,Unknown
229,4,9/1/17 0:06,9/1/17 0:10,3376,E 65 St & 2 Ave,40.76471852,-73.9622207,3447,E 71 St & 1 Ave,40.76703432,-73.9562273,27724,Subscriber,1980,Male
543,9,9/1/17 0:06,9/1/17 0:15,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,3335,Union St & 4 Ave,40.6772744,-73.98282002,18065,Subscriber,1986,Female
967,16,9/1/17 0:06,9/1/17 0:23,3263,Cooper Square & E 7 St,40.7292365,-73.99086803,417,Barclay St & Church St,40.71291224,-74.01020234,26506,Subscriber,1992,Male
1821,30,9/1/17 0:06,9/1/17 0:37,319,Fulton St & Broadway,40.711066,-74.009447,3474,6 Ave & Spring St,40.7252557,-74.00412083,27506,Subscriber,1983,Male
471,8,9/1/17 0:07,9/1/17 0:14,3176,W 64 St & West End Ave,40.77452835,-73.98753759,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,30180,Subscriber,1952,Male
290,5,9/1/17 0:07,9/1/17 0:12,428,E 3 St & 1 Ave,40.72467721,-73.98783413,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,24803,Subscriber,1992,Male
583,10,9/1/17 0:07,9/1/17 0:17,296,Division St & Bowery,40.71413089,-73.9970468,430,York St & Jay St,40.7014851,-73.98656928,19954,Subscriber,1985,Male
304,5,9/1/17 0:07,9/1/17 0:12,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,152,Warren St & Church St,40.71473993,-74.00910627,26934,Subscriber,1973,Male
1334,22,9/1/17 0:07,9/1/17 0:29,237,E 11 St & 2 Ave,40.73047309,-73.98672378,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,28032,Subscriber,1989,Male
1661,28,9/1/17 0:07,9/1/17 0:35,320,Leonard St & Church St,40.717571,-74.005549,530,11 Ave & W 59 St,40.771522,-73.990541,19307,Subscriber,1981,Male
2951,49,9/1/17 0:07,9/1/17 0:56,478,11 Ave & W 41 St,40.76030096,-73.99884222,478,11 Ave & W 41 St,40.76030096,-73.99884222,16186,Customer,NULL,Unknown
594,10,9/1/17 0:07,9/1/17 0:17,498,Broadway & W 32 St,40.74854862,-73.98808416,450,W 49 St & 8 Ave,40.76227205,-73.98788205,28398,Subscriber,1987,Male
7537,126,9/1/17 0:07,9/1/17 2:13,376,John St & William St,40.70862144,-74.00722156,376,John St & William St,40.70862144,-74.00722156,18893,Customer,NULL,Unknown
1586,26,9/1/17 0:08,9/1/17 0:34,480,W 53 St & 10 Ave,40.76669671,-73.99061728,127,Barrow St & Hudson St,40.73172428,-74.00674436,16096,Subscriber,1985,Female
572,10,9/1/17 0:08,9/1/17 0:17,243,Fulton St & Rockwell Pl,40.688226,-73.979382,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,17424,Subscriber,1987,Female
